Customer_Key,First_Name,Last_Name,Full_Name,Gender,Customer_State,Country
11000,Jon,Yang,Jon Yang,Male,Queensland,Australia
11001,Eugene,Huang,Eugene Huang,Male,Victoria,Australia
11002,Ruben,Torres,Ruben Torres,Male,Tasmania,Australia
11003,Christy,Zhu,Christy Zhu,Female,New South Wales,Australia
11004,Elizabeth,Johnson,Elizabeth Johnson,Female,New South Wales,Australia
11005,Julio,Ruiz,Julio Ruiz,Male,Queensland,Australia
11006,Janet,Alvarez,Janet Alvarez,Female,New South Wales,Australia
11007,Marco,Mehta,Marco Mehta,Male,Victoria,Australia
11008,Rob,Verhoff,Rob Verhoff,Female,Victoria,Australia
11009,Shannon,Carlson,Shannon Carlson,Male,Queensland,Australia
11010,Jacquelyn,Suarez,Jacquelyn Suarez,Female,Queensland,Australia
11011,Curtis,Lu,Curtis Lu,Male,Queensland,Australia
11012,Lauren,Walker,Lauren Walker,Female,Washington,United States
11013,Ian,Jenkins,Ian Jenkins,Male,Oregon,United States
11014,Sydney,Bennett,Sydney Bennett,Female,Washington,United States
11015,Chloe,Young,Chloe Young,Female,California,United States
11016,Wyatt,Hill,Wyatt Hill,Male,California,United States
11017,Shannon,Wang,Shannon Wang,Female,Victoria,Australia
11018,Clarence,Rai,Clarence Rai,Male,Victoria,Australia
11019,Luke,Lal,Luke Lal,Male,British Columbia,Canada
11020,Jordan,King,Jordan King,Male,British Columbia,Canada
11021,Destiny,Wilson,Destiny Wilson,Female,Oregon,United States
11022,Ethan,Zhang,Ethan Zhang,Male,Washington,United States
11023,Seth,Edwards,Seth Edwards,Male,California,United States
11024,Russell,Xie,Russell Xie,Male,California,United States
11025,Alejandro,Beck,Alejandro Beck,Male,Queensland,Australia
11026,Harold,Sai,Harold Sai,Male,New South Wales,Australia
11027,Jessie,Zhao,Jessie Zhao,Male,Victoria,Australia
11028,Jill,Jimenez,Jill Jimenez,Female,New South Wales,Australia
11029,Jimmy,Moreno,Jimmy Moreno,Male,Victoria,Australia
11030,Bethany,Yuan,Bethany Yuan,Female,South Australia,Australia
11031,Theresa,Ramos,Theresa Ramos,Female,New South Wales,Australia
11032,Denise,Stone,Denise Stone,Female,Victoria,Australia
11033,Jaime,Nath,Jaime Nath,Male,New South Wales,Australia
11034,Ebony,Gonzalez,Ebony Gonzalez,Female,New South Wales,Australia
11035,Wendy,Dominguez,Wendy Dominguez,Female,Victoria,Australia
11036,Jennifer,Russell,Jennifer Russell,Female,California,United States
11037,Chloe,Garcia,Chloe Garcia,Female,British Columbia,Canada
11038,Diana,Hernandez,Diana Hernandez,Female,New South Wales,Australia
11039,Marc,Martin,Marc Martin,Male,New South Wales,Australia
11040,Jesse,Murphy,Jesse Murphy,Male,Washington,United States
11041,Amanda,Carter,Amanda Carter,Female,California,United States
11042,Megan,Sanchez,Megan Sanchez,Female,California,United States
11043,Nathan,Simmons,Nathan Simmons,Male,California,United States
11044,Adam,Flores,Adam Flores,Male,Queensland,Australia
11045,Leonard,Nara,Leonard Nara,Male,New South Wales,Australia
11046,Christine,Yuan,Christine Yuan,Female,New South Wales,Australia
11047,Jaclyn,Lu,Jaclyn Lu,Female,Victoria,Australia
11048,Jeremy,Powell,Jeremy Powell,Male,Victoria,Australia
11049,Carol,Rai,Carol Rai,Female,California,United States
11050,Alan,Zheng,Alan Zheng,Male,Tasmania,Australia
11051,Daniel,Johnson,Daniel Johnson,Male,Queensland,Australia
11052,Heidi,Lopez,Heidi Lopez,Female,New South Wales,Australia
11053,Ana,Price,Ana Price,Female,California,United States
11054,Deanna,Munoz,Deanna Munoz,Female,Victoria,Australia
11055,Gilbert,Raje,Gilbert Raje,Male,Queensland,Australia
11056,Michele,Nath,Michele Nath,Female,New South Wales,Australia
11057,Carl,Andersen,Carl Andersen,Male,New South Wales,Australia
11058,Marc,Diaz,Marc Diaz,Male,South Australia,Australia
11059,Ashlee,Andersen,Ashlee Andersen,Female,Queensland,Australia
11060,Jon,Zhou,Jon Zhou,Male,Victoria,Australia
11061,Todd,Gao,Todd Gao,Male,Queensland,Australia
11062,Noah,Powell,Noah Powell,Male,Oregon,United States
11063,Angela,Murphy,Angela Murphy,Female,Washington,United States
11064,Chase,Reed,Chase Reed,Male,California,United States
11065,Jessica,Henderson,Jessica Henderson,Female,California,United States
11066,Grace,Butler,Grace Butler,Female,Oregon,United States
11067,Caleb,Carter,Caleb Carter,Male,Washington,United States
11068,Tiffany,Liang,Tiffany Liang,Female,Victoria,Australia
11069,Carolyn,Navarro,Carolyn Navarro,Female,Queensland,Australia
11070,Willie,Raji,Willie Raji,Male,Victoria,Australia
11071,Linda,Serrano,Linda Serrano,Female,Queensland,Australia
11072,Casey,Luo,Casey Luo,Female,New South Wales,Australia
11073,Amy,Ye,Amy Ye,Female,New South Wales,Australia
11074,Levi,Arun,Levi Arun,Male,South Australia,Australia
11075,Felicia,Jimenez,Felicia Jimenez,Female,Victoria,Australia
11076,Blake,Anderson,Blake Anderson,Male,New South Wales,Australia
11077,Leah,Ye,Leah Ye,Female,Victoria,Australia
11078,Gina,Martin,Gina Martin,Female,British Columbia,Canada
11079,Donald,Gonzalez,Donald Gonzalez,Male,Victoria,Australia
11080,Damien,Chander,Damien Chander,Male,South Australia,Australia
11081,Savannah,Baker,Savannah Baker,Female,California,United States
11082,Angela,Butler,Angela Butler,Female,California,United States
11083,Alyssa,Cox,Alyssa Cox,Female,California,United States
11084,Lucas,Phillips,Lucas Phillips,Male,Oregon,United States
11085,Emily,Johnson,Emily Johnson,Female,California,United States
11086,Ryan,Brown,Ryan Brown,Male,California,United States
11087,Tamara,Liang,Tamara Liang,Female,California,United States
11088,Hunter,Davis,Hunter Davis,Male,California,United States
11089,Abigail,Price,Abigail Price,Female,California,United States
11090,Trevor,Bryant,Trevor Bryant,Male,California,United States
11091,Dalton,Perez,Dalton Perez,Male,British Columbia,Canada
11092,Cheryl,Diaz,Cheryl Diaz,Female,Queensland,Australia
11093,Aimee,He,Aimee He,Female,New South Wales,Australia
11094,Cedric,Ma,Cedric Ma,Male,Victoria,Australia
11095,Chad,Kumar,Chad Kumar,Male,New South Wales,Australia
11096,Andrés,Anand,Andrés Anand,Male,New South Wales,Australia
11097,Edwin,Nara,Edwin Nara,Male,Victoria,Australia
11098,Mallory,Rubio,Mallory Rubio,Female,New South Wales,Australia
